vin,body_type,daysonmarket,fleet,frame_damaged,fuel_type,has_accidents,horsepower,isCab,make_name,maximum_seating,mileage,model_name,price,transmission,wheel_system,year
ZACNJABB5KPJ92081,SUV / Crossover,522,,,Gasoline,,177,,Jeep,5 seats,7,Renegade,23141,A,FWD,2019
SALCJ2FX1LH858117,SUV / Crossover,207,,,Gasoline,,246,,Land Rover,7 seats,8,Discovery Sport,46500,A,AWD,2020
JF1VA2M67G9829723,Sedan,1233,FALSE,FALSE,Gasoline,FALSE,305,FALSE,Subaru,5 seats,,WRX STI,46995,M,AWD,2016
SALRR2RV0L2433391,SUV / Crossover,196,,,Gasoline,,340,,Land Rover,7 seats,11,Discovery,67430,A,AWD,2020
SALCJ2FXXLH862327,SUV / Crossover,137,,,Gasoline,,246,,Land Rover,7 seats,7,Discovery Sport,48880,A,AWD,2020
SALYK2EX1LA261711,SUV / Crossover,242,FALSE,FALSE,Gasoline,FALSE,247,FALSE,Land Rover,5 seats,12,Range Rover Velar,66903,A,AWD,2020
3MZBPABL6KM107908,Sedan,447,,,Gasoline,,186,,Mazda,5 seats,14,MAZDA3,23695,A,FWD,2019
SALYK2EX5LA275434,SUV / Crossover,70,,,Gasoline,,247,,Land Rover,5 seats,11,Range Rover Velar,68520,A,AWD,2020
SALCJ2FX6LH858128,SUV / Crossover,196,,,Gasoline,,246,,Land Rover,7 seats,8,Discovery Sport,51245,A,AWD,2020
SALZL2GX4LH007593,SUV / Crossover,510,FALSE,FALSE,Gasoline,FALSE,296,FALSE,Land Rover,5 seats,254,Range Rover Evoque,84399,A,AWD,2020
ZARBAAC41FM129303,Coupe,1252,FALSE,FALSE,Gasoline,FALSE,237,FALSE,Alfa Romeo,2 seats,301,4C,97579,A,RWD,2015
SALZJ2FX0LH081763,SUV / Crossover,179,,,Gasoline,,246,,Land Rover,5 seats,22,Range Rover Evoque,51885,A,AWD,2020
WBA8B7C53GK368522,Sedan,1233,FALSE,FALSE,Gasoline,FALSE,320,FALSE,BMW,5 seats,6903,3 Series,58995,A,AWD,2016
SALYK2EX8LA268316,SUV / Crossover,201,,,Gasoline,,247,,Land Rover,5 seats,20,Range Rover Velar,68725,A,AWD,2020
3MZBPABL1KM108237,Sedan,447,,,Gasoline,,186,,Mazda,5 seats,204,MAZDA3,23695,A,FWD,2019
3MZBPABL4KM107969,Sedan,447,,,Gasoline,,186,,Mazda,5 seats,61,MAZDA3,23695,A,FWD,2019
SALCP2FX9LH857747,SUV / Crossover,187,,,Gasoline,,246,,Land Rover,7 seats,6,Discovery Sport,52275,A,AWD,2020
SALYK2EX8LA284533,SUV / Crossover,20,,,Gasoline,,247,,Land Rover,5 seats,7,Range Rover Velar,68760,A,AWD,2020
SALYK2EX0LA284669,SUV / Crossover,13,,,Gasoline,,247,,Land Rover,5 seats,5,Range Rover Velar,68760,A,AWD,2020
SALCP2FX8LH854709,SUV / Crossover,230,,,Gasoline,,246,,Land Rover,7 seats,8,Discovery Sport,53770,A,AWD,2020
3MZBPABL9KM105215,Sedan,447,,,Gasoline,,186,,Mazda,5 seats,17,MAZDA3,23695,A,FWD,2019
3MZBPABL3KM107929,Sedan,438,,,Gasoline,,186,,Mazda,5 seats,12,MAZDA3,23695,A,FWD,2019
SALCP2FX9LH864505,SUV / Crossover,70,,,Gasoline,,246,,Land Rover,7 seats,8,Discovery Sport,54500,A,AWD,2020
SALCP2FX1LH840358,SUV / Crossover,324,FALSE,FALSE,Gasoline,FALSE,246,FALSE,Land Rover,7 seats,,Discovery Sport,68899,A,AWD,2020
SALRR2RV1L2433156,SUV / Crossover,187,,,Gasoline,,340,,Land Rover,7 seats,6,Discovery,68905,A,AWD,2020
SALCP2FX2LH870341,SUV / Crossover,25,,,Gasoline,,246,,Land Rover,7 seats,7,Discovery Sport,54515,A,AWD,2020
JM1DKDB75K0423950,SUV / Crossover,529,,,Gasoline,,148,,Mazda,5 seats,10,CX-3,24245,A,FWD,2019
ZACNJBBB5KPJ76839,SUV / Crossover,522,,,Gasoline,,177,,Jeep,5 seats,20,Renegade,27587,A,4WD,2019
SALCP2FX7LH864941,SUV / Crossover,70,,,Gasoline,,246,,Land Rover,7 seats,11,Discovery Sport,54540,A,AWD,2020
SALRG2RK9L2433143,SUV / Crossover,196,,,Diesel,,254,,Land Rover,7 seats,13,Discovery,68950,A,AWD,2020
SALYK2EX3LA275917,SUV / Crossover,70,,,Gasoline,,247,,Land Rover,5 seats,10,Range Rover Velar,69040,A,AWD,2020
JM3KFABMXK1505299,SUV / Crossover,529,,,Gasoline,,187,,Mazda,5 seats,569,CX-5,28345,A,FWD,2019
SALZP2FX7LH086957,SUV / Crossover,137,,,Gasoline,,246,,Land Rover,5 seats,7,Range Rover Evoque,55525,A,AWD,2020
ZACNJBBB7KPJ76289,SUV / Crossover,522,,,Gasoline,,177,,Jeep,5 seats,7,Renegade,27587,A,4WD,2019
SALRU2RV4L2436079,SUV / Crossover,70,,,Gasoline,,340,,Land Rover,7 seats,13,Discovery,69095,A,AWD,2020
SALCT2FX1LH856023,SUV / Crossover,230,,,Gasoline,,246,,Land Rover,7 seats,110,Discovery Sport,55750,A,AWD,2020
KMHD84LFXHU271438,Sedan,33,FALSE,FALSE,Gasoline,FALSE,201,FALSE,Hyundai,5 seats,30707,Elantra,13324,A,FWD,2017
SALYK2FV7LA250497,SUV / Crossover,324,,,Gasoline,,340,,Land Rover,5 seats,88,Range Rover Velar,70742,A,AWD,2020
